Time,Document Name,Sentiment Value
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_8.txt,-0.9999875426292419
2016-03,translated_20160331_[COMPANY_2]_Vermögensausweis_page_9.txt,-0.99998539686203
2016-06,translated_20160630_[COMPANY_2]_Performancebegründung_page_1.txt,-0.17688754200935364
2016-06,translated_20160630_[COMPANY_2]_Performancebegründung_page_2.txt,-0.5584815740585327
2016-06,translated_20160630_[COMPANY_2]_Performancebegründung_page_3.txt,-0.00012494261318352073
2016-06,translated_20160630_[COMPANY_2]_Performancebegründung_page_4.txt,1.1438318324508145e-05
2016-06,translated_20160630_[COMPANY_2]_Performancebegründung_page_5.txt,0.8670679330825806
2016-06,translated_20160630_[COMPANY_2]_Performancebegründung_page_6.txt,-0.008026906289160252
2016-09,translated_20160930_[COMPANY_1] Performancebegründung_page_1.txt,-0.9700154662132263
2016-09,translated_20160930_[COMPANY_1] Performancebegründung_page_2.txt,-0.02018016017973423
2016-09,translated_20160930_[COMPANY_1] Performancebegründung_page_3.txt,-0.00032568263122811913
2016-09,translated_20160930_[COMPANY_1] Performancebegründung_page_4.txt,-0.0174226313829422
2016-09,translated_20160930_[COMPANY_1] Performancebegründung_page_5.txt,-0.003939962480217218
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_1.txt,-0.9999621510505676
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_10.txt,-0.9999995231628418
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_11.txt,-0.9999973177909851
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_12.txt,-0.999998152256012
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_13.txt,-0.9999986886978149
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_14.txt,-0.9999984502792358
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_15.txt,-0.9999977946281433
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_16.txt,-0.9999988079071045
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_17.txt,-0.9999988675117493
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_18.txt,-0.9999986886978149
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_19.txt,-0.9999985098838806
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_2.txt,-0.9999969601631165
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_20.txt,-0.9999985694885254
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_21.txt,-0.9999987483024597
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_22.txt,-0.9999985694885254
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_23.txt,-0.9999986886978149
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_24.txt,-0.9999986290931702
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_25.txt,-0.999998152256012
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_26.txt,-0.9999984502792358
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_27.txt,-0.9999985098838806
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_28.txt,-0.9999982714653015
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_29.txt,-0.9999988675117493
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_3.txt,-0.999997079372406
2016-09,translated_20160930_[COMPANY_1] Vermögensausweis (monatlich)_page_30.txt,-0.9999986290931702
