structure,type,seas_adj,date,value
ks_i11_econ_hist_q_hist,index,na,1986-10-01,25.0968992248062
ks_i11_econ_hist_q_hist,index,na,1987-01-01,18.92156862745098
ks_i11_econ_hist_q_hist,index,na,1987-04-01,9.250243427458617
ks_i11_econ_hist_q_hist,index,na,1987-07-01,14.15478615071283
ks_i11_econ_hist_q_hist,index,na,1987-10-01,7.1
ks_i11_econ_hist_q_hist,index,na,1988-01-01,-2.106318956870612
ks_i11_econ_hist_q_hist,index,na,1988-04-01,-9.686888454011742
ks_i11_econ_hist_q_hist,index,na,1988-07-01,11.370262390670554
ks_i11_econ_hist_q_hist,index,na,1988-10-01,21.40077821011673
ks_i11_econ_hist_q_hist,index,na,1989-01-01,38.01571709233792
ks_i11_econ_hist_q_hist,index,na,1989-04-01,27.26387536514119
ks_i11_econ_hist_q_hist,index,na,1989-07-01,11.907066795740562
ks_i11_econ_hist_q_hist,index,na,1989-10-01,27.216494845360824
ks_i11_econ_hist_q_hist,index,na,1990-01-01,-1.8018018018018018
ks_i11_econ_hist_q_hist,index,na,1990-04-01,0
ks_i11_econ_hist_q_hist,index,na,1990-07-01,-6.893106893106893
ks_i11_econ_hist_q_hist,index,na,1990-10-01,-45.348837209302324
ks_i11_econ_hist_q_hist,index,na,1991-01-01,-50.09940357852882
ks_i11_econ_hist_q_hist,index,na,1991-04-01,-54.1704857928506
ks_i11_econ_hist_q_hist,index,na,1991-07-01,-69.57364341085271
ks_i11_econ_hist_q_hist,index,na,1991-10-01,-92.18604651162791
ks_i11_econ_hist_q_hist,index,na,1992-01-01,-105.75022461814913
ks_i11_econ_hist_q_hist,index,na,1992-04-01,-100.93896713615023
ks_i11_econ_hist_q_hist,index,na,1992-07-01,-106.11476952022578
ks_i11_econ_hist_q_hist,index,na,1992-10-01,-114.74178403755869
ks_i11_econ_hist_q_hist,index,na,1993-01-01,-102.32774674115457
ks_i11_econ_hist_q_hist,index,na,1993-04-01,-103.30500472143531
ks_i11_econ_hist_q_hist,index,na,1993-07-01,-99.23954372623575
ks_i11_econ_hist_q_hist,index,na,1993-10-01,-86.39774859287056
ks_i11_econ_hist_q_hist,index,na,1994-01-01,-64.9812734082397
ks_i11_econ_hist_q_hist,index,na,1994-04-01,-30.857142857142854
ks_i11_econ_hist_q_hist,index,na,1994-07-01,-15.973534971644613
ks_i11_econ_hist_q_hist,index,na,1994-10-01,-7.368421052631578
ks_i11_econ_hist_q_hist,index,na,1995-01-01,-16.447368421052634
ks_i11_econ_hist_q_hist,index,na,1995-04-01,-10.536044362292053
ks_i11_econ_hist_q_hist,index,na,1995-07-01,-27.887323943661972
ks_i11_econ_hist_q_hist,index,na,1995-10-01,-29.732225300092335
ks_i11_econ_hist_q_hist,index,na,1996-01-01,-54.79331574318381
ks_i11_econ_hist_q_hist,index,na,1996-04-01,-76.778413736713
ks_i11_econ_hist_q_hist,index,na,1996-07-01,-85.72752548656163
ks_i11_econ_hist_q_hist,index,na,1996-10-01,-84.400826446281
ks_i11_econ_hist_q_hist,index,na,1997-01-01,-88.28365878725592
ks_i11_econ_hist_q_hist,index,na,1997-04-01,-74.94780793319416
ks_i11_econ_hist_q_hist,index,na,1997-07-01,-53.75
ks_i11_econ_hist_q_hist,index,na,1997-10-01,-20.461095100864554
ks_i11_econ_hist_q_hist,index,na,1998-01-01,-33.58490566037736
ks_i11_econ_hist_q_hist,index,na,1998-04-01,-6.5048543689320395
ks_i11_econ_hist_q_hist,index,na,1998-07-01,16.272469252601702
ks_i11_econ_hist_q_hist,index,na,1998-10-01,4.429133858267717
ks_i11_econ_hist_q_hist,index,na,1999-01-01,3.1914893617021276
ks_i11_econ_hist_q_hist,index,na,1999-04-01,-3.1189083820662766
ks_i11_econ_hist_q_hist,index,na,1999-07-01,7.142857142857142
ks_i11_econ_hist_q_hist,index,na,1999-10-01,22.624877571008813
ks_i11_econ_hist_q_hist,index,na,2000-01-01,33.99014778325123
ks_i11_econ_hist_q_hist,index,na,2000-04-01,41.50197628458498
ks_i11_econ_hist_q_hist,index,na,2000-07-01,54.50191570881226
ks_i11_econ_hist_q_hist,index,na,2000-10-01,51.77713736791547
ks_i11_econ_hist_q_hist,index,na,2001-01-01,48.322147651006716
ks_i11_econ_hist_q_hist,index,na,2001-04-01,38.15533980582524
ks_i11_econ_hist_q_hist,index,na,2001-07-01,24.248302618816684
ks_i11_econ_hist_q_hist,index,na,2001-10-01,-51.31450827653359
ks_i11_econ_hist_q_hist,index,na,2002-01-01,-49.51830443159923
ks_i11_econ_hist_q_hist,index,na,2002-04-01,-34.077669902912625
ks_i11_econ_hist_q_hist,index,na,2002-07-01,-47.8134110787172
ks_i11_econ_hist_q_hist,index,na,2002-10-01,-101.32075471698114
ks_i11_econ_hist_q_hist,index,na,2003-01-01,-80.74003795066413
ks_i11_econ_hist_q_hist,index,na,2003-04-01,-98.69158878504672
ks_i11_econ_hist_q_hist,index,na,2003-07-01,-89.8320895522388
ks_i11_econ_hist_q_hist,index,na,2003-10-01,-63.53488372093024
ks_i11_econ_hist_q_hist,index,na,2004-01-01,-56.052141527001865
ks_i11_econ_hist_q_hist,index,na,2004-04-01,-26.221804511278197
ks_i11_econ_hist_q_hist,index,na,2004-07-01,-19.498607242339833
ks_i11_econ_hist_q_hist,index,na,2004-10-01,-30.919220055710305
ks_i11_econ_hist_q_hist,index,na,2005-01-01,-28.200371057513912
ks_i11_econ_hist_q_hist,index,na,2005-04-01,-24.03393025447691
ks_i11_econ_hist_q_hist,index,na,2005-07-01,-35.31100478468899
ks_i11_econ_hist_q_hist,index,na,2005-10-01,-33.051643192488264
ks_i11_econ_hist_q_hist,index,na,2006-01-01,0
ks_i11_econ_hist_q_hist,index,na,2006-04-01,15.465898174831894
ks_i11_econ_hist_q_hist,index,na,2006-07-01,34.31839847473784
ks_i11_econ_hist_q_hist,index,na,2006-10-01,41.06280193236715
ks_i11_econ_hist_q_hist,index,na,2007-01-01,43.56530028598665
ks_i11_econ_hist_q_hist,index,na,2007-04-01,48.1086323957323
ks_i11_econ_hist_q_hist,index,na,2007-07-01,43.49056603773585
ks_i11_econ_hist_q_hist,index,na,2007-10-01,35.714285714285715
ks_i11_econ_hist_q_hist,index,na,2008-01-01,30.67426400759734
ks_i11_econ_hist_q_hist,index,na,2008-04-01,2.3629489603024574
ks_i11_econ_hist_q_hist,index,na,2008-07-01,-25.094696969696972
ks_i11_econ_hist_q_hist,index,na,2008-10-01,-57.410881801125704
ks_i11_econ_hist_q_hist,index,na,2009-01-01,-63.98503274087932
ks_i11_econ_hist_q_hist,index,na,2009-04-01,-96.30655586334257
ks_i11_econ_hist_q_hist,index,na,2009-07-01,-100.27829313543599
ks_i11_econ_hist_q_hist,index,na,2009-10-01,-74.69654528478058
ks_i11_econ_hist_q_hist,index,na,2010-01-01,-58.294717330861914
ks_i11_econ_hist_q_hist,index,na,2010-04-01,-7.3584905660377355
ks_i11_econ_hist_q_hist,index,na,2010-07-01,5.272895467160037
ks_i11_econ_hist_q_hist,index,na,2010-10-01,15.726179463459761
ks_i11_econ_hist_q_hist,index,na,2011-01-01,16.65089877010407
ks_i11_econ_hist_q_hist,index,na,2011-04-01,12.791783380018673
ks_i11_econ_hist_q_hist,index,na,2011-07-01,-5.096153846153846
ks_i11_econ_hist_q_hist,index,na,2011-10-01,-41.62679425837321
ks_i11_econ_hist_q_hist,index,na,2012-01-01,-47.113594040968344
ks_i11_econ_hist_q_hist,index,na,2012-04-01,-17.661900756938604
ks_i11_econ_hist_q_hist,index,na,2012-07-01,-24.137931034482758
ks_i11_econ_hist_q_hist,index,na,2012-10-01,-21.980886185925282
ks_i11_econ_hist_q_hist,index,na,2013-01-01,-9.739714525608733
ks_i11_econ_hist_q_hist,index,na,2013-04-01,-6.6237350505979755
ks_i11_econ_hist_q_hist,index,na,2013-07-01,-9.212880143112702
ks_i11_econ_hist_q_hist,index,na,2013-10-01,2.7247956403269753
ks_i11_econ_hist_q_hist,index,na,2014-01-01,11.828859060402683
ks_i11_econ_hist_q_hist,index,na,2014-04-01,5.456255879586077
ks_i11_econ_hist_q_hist,index,na,2014-07-01,6.9252077562326875
ks_i11_econ_hist_q_hist,index,na,2014-10-01,-8.979947689625108
ks_i11_econ_hist_q_hist,index,na,2015-01-01,0.9285051067780872
